,Name,Solvent,N Parameter,sN Parameter,E parameter,Classification,reference
134,"1,1-dimethylhydrazine (in MeCN)",MeCN,22.41,0.45,0,3,DOI: 10.1002/anie.201107315
135,"1,1-dimethylsilepane",dichloromethane,-3.10,1.10,0,1,DOI: 10.1002/chem.201202839
136,"1,1-dimethylsiletane",dichloromethane,-2.10,1.10,0,1,DOI: 10.1002/chem.201202839
137,"1,1-dimethylsilinane",dichloromethane,-2.40,1.10,0,1,DOI: 10.1002/chem.201202839
138,"1,1-dimethylsilolane",dichloromethane,-3.86,1.10,0,1,DOI: 10.1002/chem.201202839
139,"1,2,3,5,6,7-hexahydroimidazo[1,2-a]pyrimidine (TBN)",dichloromethane,16.15,0.73,0,3,DOI: 10.1002/cctc.201200143
140,"1,2,3-trimethoxy-1,3-dioxopropan-2-ide (in DMSO)",DMSO,20.08,0.74,0,3,DOI: 10.1002/anie.201605616
141,"1,2,4,5-tetramethylcyclohexa-1,4-diene (in CH2Cl2)",dichloromethane,4.27,0.86,0,2,DOI: 10.1021/ja507598y
142,"1,2,5-trimethylpyrrole",MeCN,8.69,1.07,0,3,DOI: 10.1002/ejoc.200800092
143,"1,2-bis(trimethylsiloxy)cyclohexene",dichloromethane,4.46,1.15,0,1,DOI: 10.1021/ar020094c
144,"1,2-dihydronaphthalene (in MeCN)",MeCN,-3.30,1.00,0,1,DOI: 10.1002/chem.201202839
145,"1,2-dimethylhydrazine (in MeCN)",MeCN,16.15,0.68,0,3,DOI: 10.1021/jo301497g
146,"1,2-dimethylindole",dichloromethane,6.54,1.10,0,1,DOI: 10.1021/jo0614339
147,"1,3,4-triphenyl-1H-1,2,4-triazol-4-ium-5-ide (in THF)",THF,14.07,0.84,0,3,DOI: 10.1002/anie.201102435
148,"1,3,5-trimethylcyclohexa-1,4-diene (in CH2Cl2)",dichloromethane,4.95,0.79,0,2,DOI: 10.1021/ja507598y
149,"1,3-bis(2,6-diisopropylphenyl)-2,3-dihydro-1H-1,3,2-diazaphosphole (in MeCN)",MeCN,19.85,0.34,0,3,DOI: 10.1002/anie.201901456
150,"1,3-bis(trimethylgermyl)propane (in MeCN)",MeCN,-3.40,1.10,0,1,DOI: 10.1002/chem.201202839
151,"1,3-bis(trimethylsilyl)propane",dichloromethane/MeCN mix,-5.30,1.10,0,1,DOI: 10.1002/chem.201202839
152,"1,3-bis(trimethylstannyl)propane (in MeCN)",MeCN,-1.70,1.10,0,1,DOI: 10.1002/chem.201202839
153,"1,3-di-tert-butyl-1,3,2-diazaphosphinane (in MeCN)",MeCN,13.46,0.52,0,3,DOI: 10.1002/anie.201901456
154,"1,3-di-tert-butyl-1,3,2-diazaphospholidine (in MeCN)",MeCN,18.74,0.47,0,3,DOI: 10.1002/anie.201901456
155,"1,3-di-tert-butyl-2,3-dihydro-1H-1,3,2-diazaphosphole (in MeCN)",MeCN,25.54,0.35,0,3,DOI: 10.1002/anie.201901456
156,"1,3-di-tert-butyl-2,3-dihydro-1H-benzo[d][1,3,2]diazaphosphole (in MeCN)",MeCN,20.93,0.43,0,3,DOI: 10.1002/anie.201901456
157,"1,3-diaminopropane (in water)",water,14.02,0.54,0,3,DOI: 10.1021/jo062586z
158,"1,3-diethoxy-2-fluoro-1,3-dioxopropan-2-ide (in DMSO)",DMSO,20.63,0.76,0,3,DOI: 10.1002/anie.201605616
159,"1,3-diethyl-thiobarbiturate anion (in DMSO)",DMSO,14.90,0.80,0,3,DOI: 10.1021/acs.joc.7b01223
160,"1,3-dimesityl-1H-imidazol-3-ium-2-ide (in THF)",THF,21.72,0.45,0,3,DOI: 10.1002/anie.201102435
161,"1,3-dimesityl-2,3-dihydro-1H-1,3,2-diazaphosphole (in MeCN)",MeCN,17.68,0.68,0,3,DOI: 10.1002/anie.201901456
162,"1,3-dimesityl-2-methylene-2,3-dihydro-1H-imidazole (in THF)",THF,17.80,0.79,0,3,DOI: 10.1021/acs.joc.0c02838
163,"1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ium-2-ide (in THF)",THF,23.35,0.40,0,3,DOI: 10.1002/anie.201102435
164,"1,3-dimethoxybenzene",dichloromethane,2.48,1.09,0,5,DOI: 10.1021/ja010890y
165,"1,3-dimethyl-2-methylene-2,3-dihydro-1H-benzo[d]imidazole",THF,19.84,0.58,0,3,DOI: 10.1021/acs.joc.0c02838
166,"1,3-dimethyl-2-methylenehexahydropyrimidine (in THF)",THF,18.68,0.63,0,3,DOI: 10.1021/acs.joc.0c02838
167,"1,3-dimethyl-2-methyleneimidazolidine (in THF)",THF,18.11,0.68,0,3,DOI: 10.1021/acs.joc.0c02838
168,"1,3-dimethylbarbiturate anion (in DMSO)",DMSO,17.46,0.72,0,3,DOI: 10.1021/acs.joc.7b01223
169,"1,3-dimethylimidazolidin-2-imine",dichloromethane,12.46,0.87,0,3,DOI: 10.1002/cctc.201200143
170,"1,3-dioxepane",dichloromethane,-3.80,0.80,0,1,DOI: 10.1002/chem.201202839
171,"1,3-dioxolane",dichloromethane,-2.86,0.80,0,3,DOI: 10.1002/chem.201202839
172,"1,3-oxazolidin-2-one anion (in DMSO)",DMSO,22.40,0.59,0,3,DOI: 10.1021/jo1009883
173,"1,4-cyclohexadiene",dichloromethane,0.09,0.98,0,3,DOI: 10.1021/ja0121538
174,"1,4-cyclohexadiene (in MeCN)",MeCN,0.35,0.98,0,1,DOI: 10.1002/chem.201202839
175,"1,4-dihydronaphthalene",dichloromethane,-0.07,1.03,0,3,DOI: 10.1021/ja0121538
176,"1,4-dihydronaphthalene (in MeCN)",MeCN,-2.50,1.00,0,1,DOI: 10.1002/chem.201202839
177,"1,4-dimethylcyclohexa-1,4-diene (in CH2Cl2)",dichloromethane,1.88,0.96,0,2,DOI: 10.1021/ja507598y
178,"1,4-pentadiene",dichloromethane,-2.99,0.97,0,1,DOI: 10.1021/ja0121538
179,"1,6-bis(trimethylsilyl)hexane",dichloromethane,-4.70,1.10,0,1,DOI: 10.1002/chem.201202839
180,1-((4-chlorobenzylidene)amino)-2-ethoxy-2-oxoethan-1-ide (in DMSO),DMSO,29.02,0.49,0,2,DOI: 10.1016/j.tet.2018.11.075
181,1-((diphenylmethylene)amino)-2-ethoxy-2-oxoethan-1-ide (in DMSO),DMSO,26.95,0.52,0,3,DOI: 10.1016/j.tet.2018.11.075
182,1-(1-cyclohexenyl)-4-methylpiperazine,dichloromethane,12.51,0.80,0,1,DOI: 10.1002/chem.200204666
183,"1-(2-methyl-4,5-dihydro-1H-imidazol-1-yl)ethanone (in CH2Cl2)",dichloromethane,10.03,0.75,0,3,DOI: 10.1002/ejoc.201300213
184,1-(3-chloropyridin-1-ium-1-yl)-2-oxo-2-phenylethan-1-ide (in DMSO),DMSO,17.98,0.63,0,3,DOI: 10.1021/ja407885h
185,1-(4-(dimethylamino)pyridin-1-ium-1-yl)-2-oxo-2-phenylethan-1-ide (in DMSO),DMSO,21.61,0.58,0,3,DOI: 10.1021/ja407885h
186,1-(benzylideneamino)-2-ethoxy-2-oxoethan-1-ide (in DMSO),DMSO,29.10,0.50,0,1,DOI: 10.1016/j.tet.2018.11.075
187,1-(ethoxycarbonyl)-2-oxocyclododecan-1-ide (in DMSO),DMSO,20.60,0.63,0,3,DOI: 10.1002/ejoc.201501107
188,1-(ethoxycarbonyl)-2-oxocycloheptan-1-ide,DMSO,19.53,0.83,0,3,DOI: 10.1002/ejoc.201501107
189,1-(ethoxycarbonyl)-2-oxocyclohexan-1-ide (in DMSO),DMSO,18.32,0.84,0,3,DOI: 10.1002/ejoc.201501107
190,1-(ethoxycarbonyl)-2-oxocyclooctan-1-ide (in DMSO),DMSO,20.02,0.76,0,3,DOI: 10.1002/ejoc.201501107
191,1-(ethoxycarbonyl)-2-oxocyclopentan-1-ide (in DMSO),DMSO,18.63,0.82,0,3,DOI: 10.1002/ejoc.201501107
192,1-(isoquinolin-2-ium-2-yl)-2-oxo-2-phenylethan-1-ide (in DMSO),DMSO,20.08,0.57,0,3,DOI: 10.1021/ja407885h
193,1-(N-morpholino)cyclohexene,dichloromethane,11.40,0.83,0,5,DOI: 10.1021/ja010890y
194,1-(N-morpholino)cyclopentene,dichloromethane,13.41,0.82,0,3,DOI: 10.1002/chem.200204666
195,1-(N-piperidino)cyclohexene,dichloromethane,13.36,0.81,0,5,DOI: 10.1021/ja010890y
196,1-(N-piperidino)cyclohexene (in MeCN),MeCN,14.02,0.76,0,3,DOI: 10.1021/ja401106x
197,1-(N-piperidino)cyclopentene,dichloromethane,15.06,0.82,0,3,DOI: 10.1002/chem.200204666
198,1-(N-pyrrolidino)cyclohexene,dichloromethane,14.91,0.86,0,3,DOI: 10.1002/chem.200204666
199,1-(N-pyrrolidino)cyclohexene (in MeCN),MeCN,16.42,0.70,0,3,DOI: 10.1002/anie.201004344
200,1-(N-pyrrolidino)cyclopentene,dichloromethane,15.91,0.86,0,3,DOI: 10.1002/chem.200204666
201,1-(p-tolyl)-1-(trimethylsilyl)ethene,dichloromethane,-0.65,1.59,0,3,DOI: 10.1002/chem.201303215
202,1-(perfluorophenyl)-1-(trimethylsiloxy)ethene,dichloromethane,1.47,0.89,0,3,DOI: 10.1021/ol301766w
203,1-(phenylethynyl)pyrrolidin-2-one,dichloromethane,3.12,0.85,0,1,DOI: 10.1002/anie.201402055
204,1-(phenylmethylamino)cyclohexene,dichloromethane,10.73,0.81,0,3,DOI: 10.1002/chem.200204666
205,1-(phenylmethylamino)cyclopentene,dichloromethane,12.90,0.79,0,3,DOI: 10.1002/chem.200204666
206,"1-(trimethylsiloxy)-3,4-dihydronaphthalene (in MeCN)",MeCN,5.06,0.91,0,3,DOI: 10.1055/s-0037-1611634
207,"1-(trimethylsiloxy)buta-1,3-diene",dichloromethane,4.60,0.90,0,1,DOI: 10.1021/ar020094c
208,1-(trimethylsiloxy)cycloheptene,dichloromethane,6.62,1.00,0,1,DOI: 10.1021/ar020094c
